"U25";"999";"MEM1";"SAL007"
"U26";"A";"JES2";"SAL012"
"U27";"999";"SAM3";"SAL092"
"U28";"999";"VEM2";"SAL092"
"U29";"999";"LUM1";"SAL092"
"U30";"999";"JEM4";"SAL095"
"U31";"A";"MAS1";"SAL098"
"U32";"999";"VES1";"SAL007"
"U33";"999";"SAM2";"SAL199"
"U34";"999";"LUM4";"SAL199"
"U35";"999";"JES3";"SAL901"
"U36";"A";"MEM4";"SAL013"
"U37";"999";"MEM4";"SAL098"
"U38";"999";"LUM3";"SAL011"
"U39";"999";"MAS1";"SAL009"
"U40";"999";"MAM1";"SAL015"
"U41";"A";"VEM1";"SAL007"
"U42";"999";"LUM4";"SAL014"
"U43";"999";"LUM3";"SAL096"
"U44";"999";"LUM2";"SAL098"
"U45";"999";"MEM1";"SAL095"
"U46";"A";"SAM4";"SAL002"
"U47";"999";"SAM1";"SAL901"
"U48";"999";"JEM2";"SAL015"
"U49";"999";"VEM4";"SAL008"
"U50";"999";"JES1";"SAL013"
"U51";"A";"VEM2";"SAL006"
"U52";"999";"JES1";"SAL012"
"U53";"999";"MAS3";"SAL005"
"U54";"999";"LUM4";"SAL094"
"U55";"999";"VEM2";"SAL008"
"U56";"A";"LUS2";"SAL095"
"U57";"999";"JES1";"SAL001"
"U58";"999";"MAM1";"SAL813"
"U59";"999";"JEM1";"SAL011"
"U60";"999";"JES3";"SAL093"
"U61";"999";"JEM1";"SAL013"
"U62";"999";"JEM3";"SAL009"
"U63";"999";"VEM3";"SAL092"
"U64";"999";"MAS2";"SAL014"
"U65";"999";"VEM3";"SAL813"
"U66";"999";"MAS2";"SAL002"
"U67";"999";"VES2";"SAL015"
"U68";"999";"SAM1";"SAL002"
"U69";"999";"JEM4";"SAL003"
"U70";"999";"LUM1";"SAL010"
"U71";"999";"VEM2";"SAL093"
"U72";"999";"LUM3";"SAL813"
"U73";"A";"MEM4";"SAL009"
"U74";"999";"JEM1";"SAL098"
"U75";"999";"JEM4";"SAL012"
"U76";"999";"VES2";"SAL097"
"U77";"999";"MEM1";"SAL008"
"U78";"A";"JES1";"SAL098"
"U79";"999";"JES3";"SAL008"
"U80";"999";"LUS1";"SAL199"
"U81";"999";"SAM1";"SAL004"
"U82";"999";"MEM3";"SAL901"
"U83";"A";"LUM3";"SAL009"
"U84";"999";"MAS2";"SAL004"
"U85";"999";"JEM1";"SAL901"
"U86";"999";"LUM4";"SAL013"
"U87";"A";"VEM4";"SAL098"
"U88";"999";"LUM3";"SAL093"
"U89";"999";"VES3";"SAL010"
"U90";"999";"VEM4";"SAL012"
"U91";"A";"VEM2";"SAL015"
"U92";"999";"VEM3";"SAL004"
"U93";"999";"JEM1";"SAL199"
"U94";"999";"JEM2";"SAL013"
"U95";"A";"JEM3";"SAL010"
"U96";"999";"MEM2";"SAL009"
"U97";"999";"MAS3";"SAL095"
"U98";"999";"SAM1";"SAL011"
"U99";"A";"JEM2";"SAL002"
"U100";"999";"MAM1";"SAL098"
"U101";"999";"MEM2";"SAL001"
"U102";"999";"SAM3";"SAL014"
"U103";"A";"LUS3";"SAL010"
"U104";"999";"MEM1";"SAL010"
"U105";"999";"MEM2";"SAL901"
"U106";"999";"MAM3";"SAL813"
"U107";"A";"SAM3";"SAL901"
"U108";"999";"MAM4";"SAL099"
"U109";"999";"LUS3";"SAL094"
