Unite;Semaine;Horaire;Idle;Typele;IdEns;IdProf;IdDiv;IdGrp;IdContle
U90;999;MAM3;006;Cours;ENS006;PRF013;DIV002;999;CS0613c17
U91;A;LUM3;007;Cours;ENS006;PRF013;DIV002;999;CS0613c17
U92;999;SAM3;015;Cours;ENS006;PRFa1b1;DIV012;999;CS061bc18
U93;999;MEM3;015;Cours;ENS006;PRFa1b1;DIV012;999;CS061bc18
U94;999;JES3;095;Cours;ENS006;PRFa1b1;DIV012;999;CS061bc18
U95;A;VES1;095;Cours;ENS006;PRFa1b1;DIV012;999;CS061bc18
U96;999;MEM4;001;Cours;ENS007;PRF011;DIV013;999;CS0711c19
U97;999;VEM2;199;Cours;ENS007;PRF011;DIV013;999;CS0711c19
U98;999;MAS3;005;Cours;ENS007;PRF011;DIV013;999;CS0711c19
U99;A;VEM3;014;Cours;ENS007;PRF011;DIV013;999;CS0711c19
U100;999;VES2;008;Cours;ENS007;PRF013;DIV023;999;CS0713c20
U101;999;VES3;001;Cours;ENS007;PRF013;DIV023;999;CS0713c20
U102;999;MEM1;094;Cours;ENS007;PRF013;DIV023;999;CS0713c20
U103;A;MAM2;097;Cours;ENS007;PRF013;DIV023;999;CS0713c20
U104;999;VEM2;096;Cours;ENS007;PRFa1b1;DIV003;999;CS071bc21
U105;999;JEM3;003;Cours;ENS007;PRFa1b1;DIV003;999;CS071bc21
U106;999;VEM3;199;Cours;ENS007;PRFa1b1;DIV003;999;CS071bc21
U107;A;MAS1;093;Cours;ENS007;PRFa1b1;DIV003;999;CS071bc21
U108;999;SAM3;094;Cours;ENS008;PRF011;DIV014;999;CS0811c22
U109;999;MEM3;099;Cours;ENS008;PRF011;DIV014;999;CS0811c22
U110;999;MAM1;093;Cours;ENS008;PRF011;DIV014;999;CS0811c22
U111;A;LUM2;099;Cours;ENS008;PRF011;DIV014;999;CS0811c22
U112;999;LUS1;092;Cours;ENS008;PRF013;DIV024;999;CS0813c23
U113;999;SAM2;010;Cours;ENS008;PRF013;DIV024;999;CS0813c23
U114;999;JES2;008;Cours;ENS008;PRF013;DIV024;999;CS0813c23
U115;A;VEM1;901;Cours;ENS008;PRF013;DIV024;999;CS0813c23
U116;999;MAS2;009;Cours;ENS008;PRFa1b1;DIV004;999;CS081bc24
U117;999;MAM3;097;Cours;ENS008;PRFa1b1;DIV004;999;CS081bc24
U118;999;MEM2;901;Cours;ENS008;PRFa1b1;DIV004;999;CS081bc24
U119;A;JES1;012;Cours;ENS008;PRFa1b1;DIV004;999;CS081bc24
U120;999;VES2;199;Cours;ENS009;PRF010;DIV001;999;CS0910c25
U121;999;VEM2;015;Cours;ENS009;PRF010;DIV001;999;CS0910c25
U122;999;JES2;096;Cours;ENS009;PRF010;DIV001;999;CS0910c25
U123;999;MAS3;006;Cours;ENS009;PRF010;DIV021;999;CS0910c26
U124;999;LUS3;099;Cours;ENS009;PRF010;DIV021;999;CS0910c26
U125;999;MAM1;011;Cours;ENS009;PRF010;DIV021;999;CS0910c26
U126;999;LUS3;098;Cours;ENS009;PRF015;DIV011;999;CS0915c27
U127;999;MEM4;199;Cours;ENS009;PRF015;DIV011;999;CS0915c27
U128;999;MAM2;015;Cours;ENS009;PRF015;DIV011;999;CS0915c27
U129;999;JES1;006;Cours;ENS010;PRF010;DIV002;999;CS1010c28
U130;999;MEM1;003;Cours;ENS010;PRF010;DIV002;999;CS1010c28
U131;999;SAM4;006;Cours;ENS010;PRF010;DIV002;999;CS1010c28
U132;999;SAM3;011;Cours;ENS010;PRF010;DIV022;999;CS1010c29
U133;999;LUS2;093;Cours;ENS010;PRF010;DIV022;999;CS1010c29
U134;999;MAM2;095;Cours;ENS010;PRF010;DIV022;999;CS1010c29
U135;999;LUS1;813;Cours;ENS010;PRF015;DIV012;999;CS1015c30
U136;999;MAM4;008;Cours;ENS010;PRF015;DIV012;999;CS1015c30
U137;999;MEM1;005;Cours;ENS010;PRF015;DIV012;999;CS1015c30
U138;999;MEM2;092;Cours;ENS011;PRF010;DIV013;999;CS1110c31
U139;999;LUM2;005;Cours;ENS011;PRF010;DIV013;999;CS1110c31
U140;999;VES1;015;Cours;ENS011;PRF010;DIV013;999;CS1110c31
U141;999;LUM1;008;Cours;ENS011;PRF015;DIV003;999;CS1115c32
U142;999;VES3;009;Cours;ENS011;PRF015;DIV003;999;CS1115c32
U143;999;JEM1;901;Cours;ENS011;PRF015;DIV003;999;CS1115c32
U144;999;MEM2;004;Cours;ENS011;PRF015;DIV023;999;CS1115c33
U145;999;JEM4;010;Cours;ENS011;PRF015;DIV023;999;CS1115c33
U146;999;JES3;199;Cours;ENS011;PRF015;DIV023;999;CS1115c33
U369;999;LUS3;019;TP;ENS021;PRF017;DIV001;GRP001PSV1;CS1170094
U370;999;LUS1;022;TP;ENS021;PRF017;DIV001;GRP001PSV1;CS1170094
U371;999;SAM1;018;TP;ENS021;PRF017;DIV001;GRP001PSV2;CS1170095
U372;999;MAM2;017;TP;ENS021;PRF017;DIV001;GRP001PSV2;CS1170095
U373;999;MAS1;022;TP;ENS021;PRF017;DIV011;GRP011PSV1;CS1170196
U374;999;JES1;023;TP;ENS021;PRF017;DIV011;GRP011PSV1;CS1170196
U375;999;VES2;022;TP;ENS021;PRF017;DIV011;GRP011PSV2;CS1170197
U376;999;SAM3;023;TP;ENS021;PRF017;DIV011;GRP011PSV2;CS1170197
U377;999;LUM4;019;TP;ENS021;PRF017;DIV021;GRP021PSV1;CS1170298
U378;999;VES1;019;TP;ENS021;PRF017;DIV021;GRP021PSV1;CS1170298
U379;999;SAM4;019;TP;ENS021;PRF017;DIV021;GRP021PSV2;CS1170299
U380;999;VEM2;023;TP;ENS021;PRF017;DIV021;GRP021PSV2;CS1170299
U147;999;JEM2;014;Cours;ENS012;PRF010;DIV014;999;CS1210c34
U148;999;JES3;099;Cours;ENS012;PRF010;DIV014;999;CS1210c34
U149;999;MAS2;002;Cours;ENS012;PRF010;DIV014;999;CS1210c34
U150;A;LUM4;096;Cours;ENS012;PRF010;DIV014;999;CS1210c34
U151;999;VES1;009;Cours;ENS012;PRF015;DIV004;999;CS1215c35
U152;999;VEM2;813;Cours;ENS012;PRF015;DIV004;999;CS1215c35
U153;999;SAM1;003;Cours;ENS012;PRF015;DIV004;999;CS1215c35
U154;A;JEM2;099;Cours;ENS012;PRF015;DIV004;999;CS1215c35
U155;999;MAM3;008;Cours;ENS012;PRF015;DIV024;999;CS1215c36
U156;999;LUM2;095;Cours;ENS012;PRF015;DIV024;999;CS1215c36
U157;999;VEM4;011;Cours;ENS012;PRF015;DIV024;999;CS1215c36
U158;A;JES1;094;Cours;ENS012;PRF015;DIV024;999;CS1215c36
U159;999;MEM2;003;Cours;ENS013;PRF005;999;GRP0131;CS1305c37
U160;999;JEM4;013;Cours;ENS013;PRF005;999;GRP0131;CS1305c37
U161;999;JEM3;099;Cours;ENS013;PRF005;999;GRP0131;CS1305c37
U162;999;LUM2;001;Cours;ENS013;PRF005;999;GRP0131;CS1305c37
U163;999;JEM1;012;Cours;ENS313;PRF009;999;GRP3131;CS1309c38
U164;999;LUM2;094;Cours;ENS313;PRF009;999;GRP3131;CS1309c38
U165;999;JEM3;010;Cours;ENS313;PRF009;999;GRP3131;CS1309c38
U166;999;JES1;096;Cours;ENS313;PRF009;999;GRP3131;CS1309c38
U167;999;JEM2;004;Cours;ENS313;PRF009;999;GRP3132;CS1309c39
U168;999;JES2;005;Cours;ENS313;PRF009;999;GRP3132;CS1309c39
U169;999;LUS1;004;Cours;ENS313;PRF009;999;GRP3132;CS1309c39
U170;999;MAS2;006;Cours;ENS313;PRF009;999;GRP3132;CS1309c39
U171;999;JEM1;005;Cours;ENS113;PRF016;999;GRP1131;CS1316c40
U172;999;JEM4;008;Cours;ENS113;PRF016;999;GRP1131;CS1316c40
U173;999;MEM2;097;Cours;ENS113;PRF016;999;GRP1131;CS1316c40
U174;999;LUM2;008;Cours;ENS113;PRF016;999;GRP1131;CS1316c40
U175;999;JEM3;009;Cours;ENS113;PRF016;999;GRP1132;CS1316c41
U176;999;LUS1;199;Cours;ENS113;PRF016;999;GRP1132;CS1316c41
U177;999;JES2;013;Cours;ENS113;PRF016;999;GRP1132;CS1316c41
U178;999;JEM2;003;Cours;ENS113;PRF016;999;GRP1132;CS1316c41
U179;999;LUM4;010;Cours;ENS014;PRF005;999;GRP0141;CS1405c42
U180;999;MAS3;099;Cours;ENS014;PRF005;999;GRP0141;CS1405c42
U181;999;LUM1;007;Cours;ENS014;PRF005;999;GRP0141;CS1405c42
U182;999;MAS1;901;Cours;ENS014;PRF005;999;GRP0142;CS1405c43
U183;999;SAM2;002;Cours;ENS014;PRF005;999;GRP0142;CS1405c43
U184;999;JEM2;009;Cours;ENS014;PRF005;999;GRP0142;CS1405c43
U185;999;SAM2;093;Cours;ENS314;PRF009;999;GRP3141;CS1409c44
U186;999;MAS1;014;Cours;ENS314;PRF009;999;GRP3141;CS1409c44
U187;999;LUM4;901;Cours;ENS314;PRF009;999;GRP3141;CS1409c44
U188;999;LUS3;097;Cours;ENS114;PRF016;999;GRP1141;CS1416c45
U189;999;LUM1;006;Cours;ENS114;PRF016;999;GRP1141;CS1416c45
U190;999;MAS3;092;Cours;ENS114;PRF016;999;GRP1141;CS1416c45
U191;999;LUS2;096;Cours;ENS015;PRF005;999;GRP0151;CS1505c46
U192;999;VEM1;095;Cours;ENS015;PRF005;999;GRP0151;CS1505c46
U193;999;SAM1;099;Cours;ENS015;PRF005;999;GRP0151;CS1505c46
U194;999;LUS1;003;Cours;ENS015;PRF005;999;GRP0152;CS1505c47
U195;999;MAM3;004;Cours;ENS015;PRF005;999;GRP0152;CS1505c47
U196;999;MAM1;003;Cours;ENS015;PRF005;999;GRP0152;CS1505c47
U197;999;LUS2;010;Cours;ENS315;PRF009;999;GRP3151;CS1509c48
U198;999;MEM3;007;Cours;ENS315;PRF009;999;GRP3151;CS1509c48
U199;999;VEM1;015;Cours;ENS315;PRF009;999;GRP3151;CS1509c48
U200;999;SAM1;096;Cours;ENS115;PRF016;999;GRP1151;CS1516c49
U201;999;MAM3;007;Cours;ENS115;PRF016;999;GRP1151;CS1516c49
U202;999;VEM1;011;Cours;ENS115;PRF016;999;GRP1151;CS1516c49
U203;999;MEM3;005;Cours;ENS115;PRF016;999;GRP1152;CS1516c50
U204;999;JES1;901;Cours;ENS115;PRF016;999;GRP1152;CS1516c50
U205;999;MAS1;008;Cours;ENS115;PRF016;999;GRP1152;CS1516c50
U206;999;LUS3;813;Cours;ENS016;PRF005;999;GRP0161;CS1605c51
U207;999;SAM4;010;Cours;ENS016;PRF005;999;GRP0161;CS1605c51
U208;999;LUM3;001;Cours;ENS016;PRF005;999;GRP0161;CS1605c51
U209;999;SAM4;011;Cours;ENS316;PRF009;999;GRP3161;CS1609c52
U210;999;LUM3;005;Cours;ENS316;PRF009;999;GRP3161;CS1609c52
U211;999;JES3;009;Cours;ENS316;PRF009;999;GRP3161;CS1609c52
U212;999;LUS3;003;Cours;ENS316;PRF009;999;GRP3162;CS1609c53
